date,outcome,direction,orb_size,orb_size_vs_atr,entry_delay_minutes,entry_distance_from_mid,atr_20,pre_asia_range,asia_range,london_range,prior_asia_range,orb_high_vs_asia_high,orb_low_vs_asia_low,bars_to_exit,max_favorable_r
2024-02-14,WIN,DOWN,0.900000000000091,0.1113861386138727,6.0,0.6499999999998636,8.079999999999995,1.5,5.2000000000000455,7.899999999999864,7.299999999999954,-1.2999999999999543,3.0,4,12.000000000004045
2024-02-21,WIN,UP,0.6000000000001364,0.0894854586129958,5.0,0.599999999999909,6.704999999999996,1.2000000000000457,9.099999999999907,4.2999999999999545,5.599999999999909,-8.099999999999909,0.3999999999998636,27,11.333333333326763
2024-03-18,WIN,DOWN,2.0,0.247524752475248,1.0,1.300000000000182,8.079999999999984,5.800000000000182,11.5,13.5,,-0.8999999999996362,8.600000000000364,99,12.200000000000728
2024-03-21,WIN,UP,3.299999999999727,0.405654578979683,0.0,1.75,8.135000000000014,36.0,20.200000000000276,15.299999999999727,5.200000000000273,-11.200000000000273,5.700000000000273,6,11.636363636366092
2024-04-08,WIN,UP,4.200000000000273,0.3296703296703514,6.0,3.399999999999636,12.739999999999986,24.800000000000185,50.90000000000009,21.39999999999964,,-46.69999999999982,0.0,24,11.14285714285504
2024-04-19,WIN,UP,5.800000000000182,0.3284258210645631,2.0,4.900000000000091,17.65999999999999,2.199999999999818,44.59999999999991,14.099999999999907,16.799999999999727,-33.79999999999973,5.0,24,13.793103448273266
2024-06-04,WIN,DOWN,2.199999999999818,0.1349693251533634,2.0,1.699999999999818,16.299999999999955,2.199999999999818,9.400000000000093,14.5,16.90000000000009,-0.3000000000001819,6.900000000000091,36,12.545454545450562
2024-06-06,WIN,UP,4.400000000000091,0.2712700369913746,5.0,2.900000000000091,16.21999999999998,2.599999999999909,21.199999999999815,10.300000000000182,16.40000000000009,-15.599999999999907,1.199999999999818,21,13.090909090910255
2024-06-13,WIN,DOWN,1.800000000000182,0.1090909090909202,2.0,1.300000000000182,16.49999999999998,4.099999999999909,15.099999999999907,23.09999999999991,7.099999999999909,-1.5,11.799999999999727,6,13.555555555547134
2024-07-29,WIN,DOWN,5.100000000000364,0.3280797684143035,6.0,3.150000000000091,15.54500000000005,16.300000000000182,13.600000000000364,9.599999999999907,,0.0,8.5,810,12.392156862744
2024-08-02,WIN,DOWN,3.300000000000182,0.1975456450164719,6.0,2.349999999999909,16.705000000000087,3.899999999999636,33.59999999999991,22.800000000000185,21.0,-18.199999999999815,12.099999999999907,3,12.363636363632054
2024-08-13,WIN,DOWN,3.200000000000273,0.1528175740210247,4.0,2.799999999999727,20.9400000000001,5.099999999999909,18.5,14.400000000000093,13.400000000000093,-3.399999999999636,11.900000000000093,12,11.8749999999973
2024-09-30,WIN,DOWN,3.900000000000091,0.2814868278599854,8.0,2.75,13.854999999999972,6.0,18.89999999999964,22.5,,-1.699999999999818,13.299999999999727,35,12.000000000000933
2024-11-07,WIN,DOWN,3.5,0.2004581901489127,5.0,3.25,17.459999999999923,4.0,21.600000000000364,17.300000000000182,48.79999999999973,-0.5,17.600000000000364,8,12.11428571428613
2024-12-06,WIN,DOWN,2.5,0.1059995760016959,0.0,3.149999999999636,23.58500000000001,1.5,31.300000000000185,14.0,11.699999999999818,-13.100000000000364,15.699999999999818,3,15.519999999999708
2024-12-13,WIN,UP,2.100000000000364,0.0898395721925287,0.0,1.449999999999818,23.37500000000005,3.900000000000091,13.599999999999907,23.300000000000185,17.90000000000009,-6.099999999999909,5.399999999999636,15,11.619047619045434
2024-12-20,WIN,UP,1.900000000000091,0.0832967996492804,0.0,1.949999999999818,22.81000000000004,4.299999999999727,16.40000000000009,7.800000000000182,33.30000000000018,-13.800000000000182,0.6999999999998181,3,11.157894736844623
2025-04-02,WIN,UP,2.699999999999818,0.1479452054794417,0.0,1.849999999999909,18.25000000000005,8.600000000000364,28.90000000000009,21.5,22.200000000000276,-9.800000000000182,16.40000000000009,15,11.259259259256764
2025-06-05,WIN,DOWN,4.900000000000091,0.1135836810384814,10.0,2.75,43.14000000000003,3.900000000000091,23.59999999999991,34.59999999999991,27.300000000000185,-0.1999999999998181,18.5,181,12.816326530613049
2025-07-25,WIN,DOWN,2.100000000000364,0.092776673293588,2.0,1.550000000000182,22.63499999999999,5.900000000000091,19.90000000000009,21.0,23.90000000000009,-0.6999999999998181,17.09999999999991,64,14.476190476187796
2025-08-08,WIN,DOWN,4.800000000000182,0.2412060301507629,2.0,8.299999999999727,19.9,54.59999999999991,34.600000000000364,37.90000000000009,25.0,-4.300000000000182,25.5,3,12.666666666668435
2025-08-26,WIN,DOWN,4.199999999999818,0.2083850161250213,1.0,4.400000000000091,20.155000000000065,4.400000000000091,38.5,15.599999999999907,11.400000000000093,-1.900000000000091,32.40000000000009,368,11.71428571428386
2025-11-03,WIN,UP,9.100000000000364,0.1471182604478274,0.0,7.550000000000182,61.855,,58.20000000000027,35.5,,-46.09999999999991,3.0,22,11.296703296702765
2025-11-10,WIN,UP,5.699999999999818,0.0917283553266786,5.0,3.650000000000091,62.14000000000006,,82.40000000000009,29.199999999999815,,-54.80000000000018,21.90000000000009,11,12.421052631577234
