orb,rr,trades,wins,win_rate,avg_r,total_r
0030,1.0,522,322,0.6168582375478927,0.23371647509578544,122.0
0030,1.5,522,251,0.48084291187739464,0.2021072796934866,105.5
0030,2.0,522,211,0.4042145593869732,0.21264367816091953,111.0
0030,2.5,521,182,0.3493282149712092,0.22264875239923224,116.0
0030,3.0,520,163,0.31346153846153846,0.25384615384615383,132.0
0030,4.0,518,123,0.23745173745173745,0.18725868725868725,97.0
0030,5.0,513,94,0.18323586744639375,0.09941520467836257,51.0
0030,6.0,511,82,0.16046966731898238,0.1232876712328767,63.0
0030,8.0,496,58,0.11693548387096774,0.05241935483870968,26.0
