variant,rr,sl_mode,scan_window,trades,wins,losses,time_exits,win_rate,avg_r,total_r,max_dd_r,avg_time_hours,annual_trades
RR3.0_HALF_extended,3.0,HALF,extended,523,147,376,0,28.107074569789674,0.124282982791587,65.0,25.0,0.8810070108349267,103.42487818083377
RR4.0_HALF_extended,4.0,HALF,extended,523,115,407,1,21.988527724665392,0.10688482477777964,55.90076335877875,45.0,1.2320267686424475,103.42487818083377
RR3.0_HALF_standard,3.0,HALF,standard,523,137,371,15,26.19502868068834,0.10452868718709286,54.668503398849566,26.677565878487243,0.7915232632249841,103.42487818083377
RR1.0_HALF_standard,1.0,HALF,standard,523,287,235,1,54.875717017208416,0.09930594239773563,51.937007874015734,14.0,0.22431485022307202,103.42487818083377
RR1.0_HALF_extended,1.0,HALF,extended,523,287,236,0,54.875717017208416,0.09751434034416825,51.0,14.0,0.22899936265137028,103.42487818083377
RR4.0_HALF_standard,4.0,HALF,standard,523,101,396,26,19.311663479923517,0.08200595206616998,42.8891129306069,39.05645484855396,1.0338750796685787,103.42487818083377
RR2.0_HALF_extended,2.0,HALF,extended,523,186,337,0,35.5640535372849,0.06692160611854685,35.0,21.0,0.5303696622052262,103.42487818083377
RR2.0_HALF_standard,2.0,HALF,standard,523,183,334,6,34.990439770554495,0.06643766195681952,34.74689720341661,20.858288770053527,0.5089228808158062,103.42487818083377
RR1.5_HALF_standard,1.5,HALF,standard,523,220,300,3,42.06500956022944,0.059511313083558115,31.124416742700895,20.5,0.3752071383046527,103.42487818083377
RR1.5_HALF_extended,1.5,HALF,extended,523,221,302,0,42.25621414913958,0.05640535372848948,29.5,20.5,0.3836838750796686,103.42487818083377
RR2.0_FULL_extended,2.0,FULL,extended,523,184,339,0,35.18164435946463,0.055449330783938815,29.0,27.0,1.7182600382409177,103.42487818083377
RR2.0_FULL_standard,2.0,FULL,standard,523,163,323,37,31.166347992351817,0.042992940448675986,22.485307854657542,27.9421906693712,1.4782345442957299,103.42487818083377
RR4.0_FULL_extended,4.0,FULL,extended,523,100,412,11,19.120458891013385,0.011607796674535908,6.07087766078228,45.80400782013683,3.3231038878266412,103.42487818083377
RR1.5_FULL_extended,1.5,FULL,extended,523,209,314,0,39.961759082217974,-0.0009560229445506692,-0.5,26.5,1.2893244104525177,103.42487818083377
RR1.5_FULL_standard,1.5,FULL,standard,523,193,303,27,36.90248565965583,-0.0012924758150168708,-0.6759648512538234,27.173764925750703,1.151465901848311,103.42487818083377
RR1.0_FULL_standard,1.0,FULL,standard,523,256,258,9,48.94837476099426,-0.0023384438699144685,-1.223006143965267,29.87259989740504,0.7294773741236455,103.42487818083377
RR6.0_FULL_extended,6.0,FULL,extended,523,62,435,26,11.854684512428298,-0.0032369647678153857,-1.6929325735674468,52.394701151721996,4.229477374123646,103.42487818083377
RR5.0_FULL_extended,5.0,FULL,extended,523,77,428,18,14.722753346080305,-0.0033201479771915714,-1.736437392071192,38.91364945908208,3.7850541746335247,103.42487818083377
RR6.0_HALF_extended,6.0,HALF,extended,523,73,447,3,13.957934990439771,-0.004567349561583504,-2.3887238207081722,56.85999999999975,1.8492670490758445,103.42487818083377
RR1.0_FULL_extended,1.0,FULL,extended,523,259,264,0,49.521988527724666,-0.009560229445506692,-5.0,32.0,0.7908221797323136,103.42487818083377
RR3.0_FULL_extended,3.0,FULL,extended,523,128,392,3,24.47418738049713,-0.010698508055385674,-5.595319712966708,42.954545454545496,2.653664754620778,103.42487818083377
RR4.0_FULL_standard,4.0,FULL,standard,523,54,357,112,10.325047801147228,-0.023758358633977517,-12.425621565570241,44.88539241530874,2.2566284257488847,103.42487818083377
RR8.0_HALF_extended,8.0,HALF,extended,523,51,462,10,9.751434034416825,-0.024835338834267286,-12.98888221032179,61.324772999281535,2.2995538559592097,103.42487818083377
RR3.0_FULL_standard,3.0,FULL,standard,523,89,354,80,17.01720841300191,-0.0269657242357105,-14.103073775276592,41.91637296494098,1.9758444869343532,103.42487818083377
RR5.0_HALF_standard,5.0,HALF,standard,523,66,413,44,12.619502868068832,-0.028404506134198444,-14.855556708185786,43.86184202516341,1.2617590822179732,103.42487818083377
RR6.0_HALF_standard,6.0,HALF,standard,523,49,418,56,9.369024856596559,-0.02847815364327331,-14.89407435543194,46.693726432146974,1.3832058636073934,103.42487818083377
RR5.0_HALF_extended,5.0,HALF,extended,523,84,438,1,16.061185468451242,-0.028870433348415398,-15.099236641221253,57.0,1.6068514977692796,103.42487818083377
RR8.0_FULL_extended,8.0,FULL,extended,523,35,446,42,6.692160611854685,-0.05396429177713512,-28.223324599441668,74.53892961130134,4.7308158062460155,103.42487818083377
RR8.0_FULL_standard,8.0,FULL,standard,523,10,366,147,1.9120458891013385,-0.062280678977726454,-32.572795105350934,53.443749999357614,2.532249840662842,103.42487818083377
RR5.0_FULL_standard,5.0,FULL,standard,523,29,366,128,5.544933078393881,-0.07732597825746904,-40.44148662865631,52.287386362993836,2.404588910133843,103.42487818083377
RR6.0_FULL_standard,6.0,FULL,standard,523,16,366,141,3.0592734225621414,-0.08378111816623815,-43.81752480094255,55.94374999935799,2.4810707456978967,103.42487818083377
RR8.0_HALF_standard,8.0,HALF,standard,523,25,426,72,4.780114722753346,-0.09575659889382009,-50.080701221467905,52.01440287892642,1.5660293180369662,103.42487818083377
