orb_time,rr,sl_mode,split1_avg_r,split2_avg_r,split3_avg_r,positive_splits,all_positive,majority_positive
0900,1.0,HALF,-0.06425215926066899,0.07082600606570362,0.2088286803760318,2,False,True
0900,1.0,FULL,-0.10829941583164782,0.16522282427824136,0.1550759718944544,2,False,True
0900,1.5,HALF,-0.14936656710577859,0.12659020317506875,0.2616019527917934,2,False,True
0900,1.5,FULL,-0.17911507720768846,0.15506500636180462,0.1081517248439648,2,False,True
0900,2.0,HALF,-0.21751577800965805,0.1211949416221719,0.3825303241403331,2,False,True
0900,2.0,FULL,-0.11494442035410743,0.14537449323870696,0.06706484420157535,2,False,True
0900,3.0,HALF,-0.3073062720684403,0.20165471173711444,0.37944090288796184,2,False,True
0900,3.0,FULL,-0.06667206263053276,0.155844515054235,0.1416544171645069,2,False,True
1000,1.0,HALF,0.0,0.08777429467084738,-0.046511627906976744,1,False,False
1000,1.0,FULL,0.04204761904761913,0.06070075438461335,0.062079569479146876,3,True,True
1000,1.5,HALF,-0.02432339842411776,0.1718913270637415,-0.040697674418604654,1,False,False
1000,1.5,FULL,-0.039713387241689185,0.11563854726600574,0.1715678547800045,2,False,True
1000,2.0,HALF,0.130438506337787,0.005106562286832644,0.0274995756238333,3,True,True
1000,2.0,FULL,-0.0351697902184159,0.10857331373289897,0.14123305423933266,2,False,True
1000,3.0,HALF,0.09448126629891561,-0.014794931634078187,0.10221506300631741,2,False,True
1000,3.0,FULL,-0.14958818915693836,0.06728362950265282,0.202675052448976,2,False,True
1100,1.0,HALF,0.11904761904761904,0.22735632183908044,-0.004769111801822944,2,False,True
1100,1.0,FULL,0.1011978731551092,0.12030645743566545,-0.11492665186065541,2,False,True
1100,1.5,HALF,0.13246753246753207,0.2202415637101227,-0.1445468184496508,2,False,True
1100,1.5,FULL,0.06961617423439442,0.08350171019466518,-0.15705461662830358,2,False,True
1100,2.0,HALF,0.19843566651602249,0.2595980581493004,-0.1275802009358366,2,False,True
1100,2.0,FULL,0.1794803901641826,0.009868767172158491,-0.10627237561350482,2,False,True
1100,3.0,HALF,0.2532703032616991,0.21696846265359665,-0.19808084135792078,2,False,True
1100,3.0,FULL,0.2596873931375805,-0.03598983140786223,-0.15540144467171368,1,False,False
